id,name,slug
1,Amicus,amicus
2,Natural Wealth,natural-wealth
3,Now Foods,now-foods
4,Goodwill,goodwill
5,Eucerin,eucerin
6,Bioderma,bioderma
7,Uriage,uriage
8,Mustela,mustela
9,Weleda,weleda
10,Vichy,vichy
11,Danai,danai
12,Daipers,daipers
13,Pampers,pampers
14,Canbebe,canbebe
15,Carroten,carroten
16,Belupo,belupo
17,Bebelan,bebelan
18,Bionika,bionika
19,Biosline,biosline
20,BioGaia,biogaia
21,Bayer,bayer
22,Dietpharm,dietpharm
23,Cydonia,cydonia
24,Curaprox,curaprox
25,Biofar,biofar
26,Jadran,jadran
27,InnVenta,innventa
28,Lacalut,lacalut
29,Neutrogena,neutrogena
30,Omnikum,omnikum
31,Orthomol,orthomol
32,Pic,pic
33,Novalac,novalac
34,Protego,protego
35,Revalid,revalid
36,Sendo,sendo
37,Synergy,synergy
38,Tilman SA,tilman-sa
39,Salus,salus
40,KRKA,krka
41,Dr Theiss,dr-thiess
42,Medis,medis
43,Vitabiotics,vitabiotics
44,Health Aid,health-aid
45,Natusana,natusana
46,4U Pharma,4u-pharma
47,Borola,borola
48,Innventa,innventa-1
49,BERLIN CHEMIE,berlin-chemie
50,PLIVA,pliva
51,Doppelherz,doppelherz
53,Lek,lek
54,Nobel,nobel
55,UPSA,upsa
56,NOW,now
57,ACCU-CHEK,accu-chek
58,Sendo,sendo-1
59,OMRON,omron
60,ALKALOID,alkaloid
61,ABOPharma,abopharma
62,"Gelita Health,Germany",gelita-healthgermany
63,ALFASIGMA,alfasigma
64,Zheijang Fangge Pharmaceutical,zheijang-fangge-pharmaceutical
65,"Elettroplastica,Italy",elettroplasticaitaly
66,"Alphacaps,Germany",alphacapsgermany
67,Ducray,ducray
68,"Orthomol pharmazeutische,Germany",orthomol-pharmazeutischegermany
69,Starbene,starbene
70,Dr.Wolz,drwolz
71,Medis,medis-1
72,biocinalis+,biocinalis
73,NATURE'S,natures
74,Europharma Alliance,europharma-alliance
75,Alvogen,alvogen
76,PlantaPol,plantapol
77,PHARMANOVA,pharmanova
78,PharmaS,pharmas
79,PHARMASWISS,pharmaswiss
